id,district,state,state_code,year,state_tier,population,population_density,urban_population_pct,rural_population_pct,sc_st_population_pct,working_age_population_pct,female_male_ratio,gdp_per_capita,gsdp_growth_rate,poverty_rate,unemployment_rate,average_household_income,tax_revenue_per_capita,credit_deposit_ratio,imr,mmr,u5mr,life_expectancy,hospital_beds_per_1000,doctors_per_1000,health_centres_count,immunization_coverage_pct,malnutrition_rate,health_alloc_cr,health_spent_cr,health_efficiency,literacy_rate,ger_primary,ger_secondary,ger_higher,dropout_rate_primary,dropout_rate_secondary,student_teacher_ratio,schools_per_1000,gender_parity_index,education_alloc_cr,education_spent_cr,education_efficiency,agricultural_land_pct,irrigation_coverage_pct,crop_yield_index,farmer_income_inr,msp_benefit_pct,kisan_credit_coverage,drought_frequency_index,agriculture_alloc_cr,agriculture_spent_cr,agriculture_efficiency,road_density,nh_connectivity_index,railway_density,electrification_rate,internet_penetration_pct,mobile_connectivity_pct,infrastructure_alloc_cr,infrastructure_spent_cr,infrastructure_efficiency,safe_water_access_pct,sanitation_coverage_pct,groundwater_stress_index,renewable_energy_pct,energy_consumption_per_capita,water_alloc_cr,energy_alloc_cr,health_outcome_score,education_outcome_score,agriculture_outcome_score,infrastructure_outcome_score,overall_welfare_score,citizen_satisfaction_score,health_need_index,education_need_index,infrastructure_need_index,overall_need_index,uplift_multiplier,absorption_capacity
12,Belagavi,Karnataka,KA,2022,A,887653,254,39.6,60.4,23.4,67.6,0.898,205911.0,10.7,19.3,5.8,212855.0,17048.0,85.5,26.9,101.0,41.0,72.9,2.46,1.22,109,84.9,23.9,633.47,531.33,0.839,76.2,98.8,85.3,38.8,3.5,10.5,24.0,5.14,1.0,731.86,575.9,0.787,25.9,66.8,96.2,108971.0,46.8,57.4,0.31,455.33,320.01,0.703,1.52,80.8,0.0451,97.7,58.7,82.8,898.85,608.87,0.677,82.6,84.6,0.32,31.7,1363.0,306.72,395.26,95.0,71.0,71.9,73.4,79.0,3.26,35.8,47.0,24.9,35.9,1.4,0.752
13,Belagavi,Karnataka,KA,2023,A,900202,284,40.2,59.8,24.1,57.2,0.996,209701.0,13.0,21.0,8.5,226408.0,17946.0,47.6,26.5,96.0,32.7,70.3,2.77,1.25,93,91.7,21.1,662.67,616.92,0.931,77.6,100.4,80.7,42.7,2.2,7.1,21.0,6.0,1.008,794.43,669.79,0.843,29.5,66.9,86.6,114148.0,70.3,61.6,0.15,477.42,295.47,0.619,1.52,99.5,0.0527,100.0,59.7,86.1,955.85,889.3,0.93,87.8,81.7,0.51,32.4,1471.0,338.93,414.85,95.0,74.0,79.7,78.8,82.6,3.63,32.4,44.0,19.0,31.8,1.4,0.831
14,Belagavi,Karnataka,KA,2024,A,914687,904,40.2,59.8,11.3,57.2,0.985,229416.0,7.1,25.4,3.4,237380.0,17946.0,62.3,26.2,91.0,35.7,73.7,2.28,1.03,57,90.3,16.7,750.18,641.24,0.855,77.9,97.5,80.7,39.2,3.1,10.6,22.0,5.22,1.026,791.73,741.74,0.937,39.0,70.8,85.2,115946.0,67.9,66.7,0.65,539.64,454.88,0.843,1.49,70.0,0.0588,100.0,61.7,93.0,1063.92,1008.62,0.948,88.5,83.9,0.77,33.1,1504.0,344.17,420.62,95.0,71.6,70.2,74.3,79.0,3.69,30.1,46.7,23.2,33.3,1.4,0.896
15,Bengaluru,Karnataka,KA,2018,A,872346,6797,70.0,30.0,28.1,63.4,0.883,226392.0,11.8,27.8,3.1,172800.0,14583.0,86.4,32.5,105.0,46.0,71.4,3.52,1.82,99,75.9,23.4,487.01,434.83,0.893,80.6,91.9,73.9,33.1,3.4,9.4,28.0,4.94,0.952,609.19,608.32,0.999,36.7,70.0,82.2,93155.0,56.1,61.9,0.58,389.44,245.59,0.631,2.14,55.8,0.0766,91.2,47.0,72.5,715.82,558.33,0.78,77.3,71.2,0.31,16.2,1184.0,246.51,300.65,95.0,60.3,62.3,73.5,74.4,3.19,40.3,45.3,33.1,39.6,1.4,0.826
16,Bengaluru,Karnataka,KA,2019,A,895538,5636,66.6,33.4,29.2,56.7,0.935,242633.0,10.3,20.4,2.5,183035.0,15053.0,97.7,31.3,119.0,47.8,68.5,3.3,1.89,70,79.6,23.4,548.42,534.14,0.974,82.1,96.3,77.6,37.6,4.7,9.2,26.0,5.16,0.95,647.63,444.73,0.687,31.0,59.4,90.3,100797.0,53.3,63.0,0.38,423.55,318.76,0.753,2.11,93.6,0.072,89.7,51.8,78.2,736.19,445.26,0.605,75.4,73.1,0.3,23.8,1285.0,261.49,313.35,95.0,67.9,66.3,82.2,79.3,3.35,40.4,44.1,23.8,36.1,1.4,0.755
17,Bengaluru,Karnataka,KA,2020,A,898198,6675,71.9,28.1,16.5,60.6,0.962,254988.0,11.2,19.6,9.3,205443.0,15714.0,122.3,29.4,110.0,42.4,70.9,3.29,1.81,57,81.9,19.4,577.57,423.67,0.734,80.8,95.4,81.0,41.1,4.9,10.0,26.0,5.24,0.941,668.12,648.45,0.971,32.3,64.7,81.3,99171.0,57.3,60.8,0.16,451.12,391.1,0.867,2.21,90.3,0.0706,93.9,58.3,80.3,827.74,571.83,0.691,83.4,72.2,0.73,28.8,1273.0,283.19,324.59,95.0,70.0,68.7,87.0,81.5,3.85,35.1,45.0,20.2,33.4,1.4,0.816
18,Bengaluru,Karnataka,KA,2021,A,909062,3566,70.9,29.1,28.5,64.6,0.942,276270.0,13.6,18.7,10.8,201473.0,16504.0,81.8,28.2,104.0,41.1,70.4,3.13,1.92,150,83.3,19.4,600.38,401.86,0.669,84.7,98.1,81.9,37.1,5.6,11.4,26.0,5.43,0.991,710.05,576.93,0.813,43.3,70.2,89.7,103875.0,65.0,60.9,0.23,441.47,357.44,0.81,2.3,78.1,0.0755,97.0,58.8,79.9,840.05,549.21,0.654,78.0,77.9,0.23,26.7,1351.0,294.55,359.78,95.0,76.3,79.7,87.4,85.4,3.61,34.4,42.5,21.0,32.6,1.4,0.736
19,Bengaluru,Karnataka,KA,2022,A,927966,6462,71.2,28.8,8.4,57.1,0.957,288643.0,13.0,23.6,10.6,210892.0,16440.0,67.6,27.7,102.0,40.4,69.4,3.72,2.02,81,81.8,18.5,622.02,434.99,0.699,84.3,94.0,80.6,44.7,4.9,14.2,22.0,5.28,0.985,721.48,491.57,0.681,37.2,73.3,87.6,111021.0,56.6,40.0,0.33,468.06,288.98,0.617,2.4,83.0,0.0876,96.9,67.9,81.4,901.02,587.12,0.652,86.0,83.8,0.53,29.8,1439.0,301.95,380.98,95.0,77.2,63.9,93.0,83.8,4.13,35.0,44.8,17.4,32.4,1.4,0.662
20,Bengaluru,Karnataka,KA,2023,A,929976,2778,75.0,25.0,12.5,67.9,0.993,299720.0,9.2,21.6,10.8,223866.0,17834.0,85.1,32.1,94.0,45.9,72.8,3.68,2.06,55,89.4,17.8,685.53,596.02,0.869,84.6,96.7,88.0,37.4,4.7,9.4,22.0,5.16,1.017,815.61,791.35,0.97,43.3,67.8,87.7,117538.0,59.4,56.7,0.35,508.28,405.97,0.799,2.2,78.7,0.0861,100.0,72.1,89.9,965.83,697.26,0.722,87.8,85.6,0.36,34.1,1466.0,339.25,426.59,95.0,84.6,69.5,92.0,86.6,4.36,31.4,42.2,13.8,29.1,1.4,0.84
21,Bengaluru,Karnataka,KA,2024,A,946047,3838,70.6,29.4,13.0,62.2,0.966,323306.0,8.3,17.1,6.5,237080.0,18477.0,66.4,29.5,104.0,37.5,71.7,3.3,2.02,115,88.1,20.4,769.08,560.29,0.729,83.9,99.9,84.8,46.1,4.2,12.3,23.0,5.85,1.023,843.91,622.68,0.738,28.6,69.2,86.9,117878.0,62.2,64.5,0.4,534.61,326.64,0.611,2.22,66.7,0.0874,100.0,78.8,90.0,1129.24,661.22,0.586,88.5,89.7,0.68,38.5,1475.0,341.55,463.19,95.0,85.2,73.5,91.8,87.4,3.89,32.8,42.4,14.4,29.9,1.4,0.666
22,Davangere,Karnataka,KA,2018,A,936786,223,39.2,60.8,19.8,64.1,0.924,166045.0,11.3,25.2,7.8,177667.0,14752.0,75.2,30.9,118.0,46.4,71.2,2.25,1.08,70,79.1,26.2,534.71,494.22,0.924,74.4,90.7,81.6,33.2,3.7,9.9,25.0,4.75,0.939,599.17,464.22,0.775,36.4,64.1,82.5,97341.0,75.7,65.3,0.33,417.56,266.3,0.638,1.24,65.6,0.0462,88.5,25.6,66.3,745.89,621.71,0.834,72.5,70.6,0.52,21.2,1181.0,262.2,299.9,95.0,57.7,74.2,50.1,70.3,2.91,42.7,51.0,47.9,47.2,1.4,0.793
23,Davangere,Karnataka,KA,2019,A,957999,1104,38.0,62.0,15.1,62.4,0.882,183043.0,7.7,26.3,9.2,189936.0,15192.0,79.7,32.5,124.0,42.8,70.6,2.45,0.95,76,81.1,25.1,573.99,498.24,0.868,74.4,97.7,75.0,33.5,5.6,14.2,27.0,5.02,0.933,650.97,490.72,0.754,30.5,70.9,79.2,102037.0,57.1,59.8,0.16,424.43,260.64,0.614,1.53,87.8,0.0412,90.3,40.3,71.9,751.3,604.99,0.805,81.4,68.0,0.34,26.0,1223.0,261.71,329.43,95.0,49.4,70.5,65.6,71.4,3.25,41.8,53.5,34.2,43.2,1.4,0.76
24,Davangere,Karnataka,KA,2020,A,972734,346,42.6,57.4,22.6,56.6,1.005,189652.0,8.3,24.6,4.7,191885.0,15109.0,67.0,36.3,113.0,58.1,69.7,2.22,0.92,62,80.9,24.4,612.75,612.75,1.0,73.5,98.1,78.3,33.5,6.1,12.4,22.0,5.13,0.953,706.61,583.02,0.825,44.2,60.9,84.7,102566.0,60.1,49.6,0.61,465.07,435.63,0.937,1.52,91.3,0.045,96.0,40.0,76.0,824.5,632.35,0.767,76.9,80.6,0.39,21.8,1300.0,276.12,336.4,95.0,53.7,53.0,68.7,69.7,3.0,44.6,53.8,30.0,42.8,1.4,0.882
25,Davangere,Karnataka,KA,2021,A,971849,353,40.0,60.0,25.4,65.5,0.934,200131.0,8.5,26.2,2.5,200251.0,16485.0,68.6,28.2,98.0,44.4,72.3,2.53,1.04,105,89.3,25.3,612.13,596.49,0.974,74.2,93.2,82.8,37.7,6.1,7.6,24.0,5.72,0.998,714.89,570.0,0.797,36.5,64.1,95.5,111294.0,46.7,42.8,0.16,489.64,320.01,0.654,1.44,74.7,0.048,93.4,45.3,84.8,944.11,842.63,0.893,76.2,77.3,0.58,25.7,1383.0,306.69,358.5,95.0,67.4,66.0,66.1,75.1,3.66,35.6,46.5,32.2,38.1,1.4,0.829
26,Davangere,Karnataka,KA,2022,A,997153,206,38.7,61.3,19.2,60.1,0.933,210159.0,10.6,27.6,6.5,211491.0,16967.0,60.4,34.4,99.0,43.9,70.0,2.61,1.01,136,83.1,19.7,671.85,671.85,1.0,77.9,93.7,80.6,36.3,4.2,10.2,26.0,5.83,0.975,778.67,752.82,0.967,39.9,63.1,86.1,110267.0,49.2,47.0,0.13,503.52,342.27,0.68,1.38,66.4,0.054,100.0,53.8,83.2,1026.44,677.68,0.66,80.2,79.9,0.3,29.0,1438.0,324.62,397.22,95.0,65.8,62.1,67.4,74.2,3.45,39.0,46.6,29.4,38.3,1.4,0.827
27,Davangere,Karnataka,KA,2023,A,1009628,1006,40.3,59.7,20.0,64.5,0.89,225812.0,11.2,24.5,7.7,226433.0,17093.0,65.6,26.0,109.0,36.1,70.8,2.66,1.11,85,90.6,23.6,733.85,490.79,0.669,77.3,98.6,79.4,38.3,5.5,6.4,25.0,5.47,0.987,793.37,747.52,0.942,30.7,73.2,92.8,117924.0,78.2,61.3,0.38,541.67,446.34,0.824,1.49,63.2,0.0569,99.2,61.6,87.2,1026.15,842.13,0.821,80.6,84.1,0.53,32.0,1482.0,349.89,440.43,95.0,68.6,85.4,71.5,80.6,3.57,33.9,43.7,26.3,34.6,1.4,0.814
28,Davangere,Karnataka,KA,2024,A,1003599,621,43.0,57.0,28.5,67.7,0.998,237919.0,9.4,21.7,3.4,232168.0,18709.0,54.4,26.1,79.0,41.0,72.1,2.65,1.26,91,90.2,16.6,747.69,734.6,0.982,78.9,95.8,82.8,42.5,1.8,7.8,22.0,5.35,1.016,860.07,637.56,0.741,33.3,79.9,86.9,115139.0,54.3,70.9,0.49,562.75,531.6,0.945,1.68,86.2,0.0519,99.2,70.8,89.8,1102.9,933.81,0.847,84.8,88.9,0.55,34.6,1549.0,354.61,456.46,95.0,77.4,78.2,82.7,84.2,3.84,29.7,43.4,16.6,29.9,1.4,0.879
29,Hubli-Dharwad,Karnataka,KA,2018,A,960311,3959,70.4,29.6,19.1,64.2,0.903,239735.0,7.0,22.1,2.0,173365.0,14812.0,79.5,36.6,130.0,52.0,68.6,3.39,1.83,124,82.7,26.8,524.4,412.52,0.787,81.6,90.5,82.0,31.2,4.3,14.5,26.0,4.89,0.948,642.4,506.73,0.789,42.4,58.4,89.4,98302.0,47.3,52.2,0.22,420.55,329.47,0.783,2.14,58.8,0.0692,87.2,43.2,70.6,754.89,639.22,0.847,74.4,74.5,0.63,23.4,1202.0,251.9,294.45,95.0,63.5,61.3,71.4,74.5,3.63,43.1,49.6,35.9,42.9,1.4,0.802
30,Hubli-Dharwad,Karnataka,KA,2019,A,977654,7168,67.6,32.4,19.2,62.6,0.951,249829.0,9.0,25.7,10.7,192442.0,15356.0,110.7,34.9,106.0,51.2,70.8,3.36,1.83,102,79.8,22.7,540.16,525.08,0.972,80.5,91.2,78.4,37.8,4.6,9.9,25.0,4.95,0.984,684.56,575.55,0.841,31.3,70.3,78.6,98551.0,53.5,72.8,0.11,436.24,375.8,0.861,2.14,55.3,0.0864,92.1,52.1,70.9,785.8,590.66,0.752,72.7,69.1,0.7,20.4,1225.0,272.38,338.67,95.0,69.0,76.1,74.7,79.6,3.39,39.9,44.5,31.7,38.7,1.4,0.856
31,Hubli-Dharwad,Karnataka,KA,2020,A,976303,3575,67.3,32.7,8.0,56.3,0.984,264036.0,6.4,23.4,9.6,194678.0,15502.0,67.4,32.4,113.0,46.3,69.9,3.24,1.74,85,79.0,24.2,623.79,623.79,1.0,84.1,95.8,82.0,35.3,5.1,10.9,24.0,5.46,0.953,691.68,675.0,0.976,25.5,67.8,93.6,103886.0,61.9,47.0,0.34,468.97,371.66,0.793,2.18,57.5,0.0693,96.8,55.8,78.0,814.34,694.84,0.853,83.3,76.8,0.28,25.7,1319.0,286.44,366.29,95.0,71.7,70.2,79.8,80.4,3.72,40.5,45.2,26.4,37.4,1.4,0.906
32,Hubli-Dharwad,Karnataka,KA,2021,A,999716,2703,71.1,28.9,10.0,59.9,0.905,293470.0,12.1,25.3,4.7,203106.0,16447.0,93.4,29.1,109.0,35.4,70.2,3.38,1.78,160,81.6,18.7,618.82,592.59,0.958,83.1,96.0,76.2,33.9,4.2,13.5,27.0,4.89,0.976,768.61,618.08,0.804,40.7,63.6,95.0,109549.0,77.7,65.1,0.35,495.71,339.42,0.685,2.17,86.0,0.0863,98.6,60.0,83.5,939.98,569.17,0.606,79.9,76.8,0.38,31.4,1361.0,311.25,395.59,95.0,65.2,83.5,88.0,83.5,4.06,35.2,45.9,17.6,32.9,1.4,0.763
33,Hubli-Dharwad,Karnataka,KA,2022,A,1006235,2954,70.8,29.2,27.0,58.5,1.005,298507.0,8.6,25.6,5.5,220685.0,16790.0,109.5,28.1,88.0,37.1,71.1,3.25,1.88,93,81.6,21.8,708.59,503.59,0.711,84.6,97.3,81.2,41.8,3.8,10.6,21.0,5.59,0.992,759.53,605.98,0.798,43.4,69.7,89.0,115692.0,68.7,62.3,0.66,517.53,390.02,0.754,2.25,73.4,0.0923,99.2,64.8,87.6,989.6,601.18,0.608,83.5,81.2,0.73,27.6,1431.0,325.77,386.03,95.0,79.0,70.2,89.3,84.6,3.66,35.7,42.8,17.6,32.0,1.4,0.718
34,Hubli-Dharwad,Karnataka,KA,2023,A,1030450,4060,70.7,29.3,17.8,67.7,0.925,315914.0,7.0,20.5,9.0,229209.0,17233.0,75.0,28.1,109.0,37.6,73.5,3.49,1.85,153,87.1,22.4,765.44,512.9,0.67,83.4,98.3,80.8,37.8,2.2,6.4,25.0,5.13,0.988,843.05,688.83,0.817,24.0,77.0,82.2,118609.0,75.7,57.3,0.47,527.04,383.63,0.728,2.42,97.7,0.0817,100.0,79.3,92.1,1071.8,815.78,0.761,82.8,89.6,0.29,33.1,1441.0,337.66,428.2,95.0,77.0,74.5,95.0,86.4,4.25,32.4,40.1,7.6,26.7,1.4,0.744
35,Hubli-Dharwad,Karnataka,KA,2024,A,1043373,8956,73.3,26.7,8.9,58.8,0.945,341373.0,8.1,20.2,2.8,237420.0,18731.0,121.7,27.0,93.0,42.2,69.8,3.74,2.11,61,85.6,23.9,784.17,514.16,0.656,84.8,96.6,85.9,44.5,5.8,8.1,24.0,5.63,0.992,862.67,856.45,0.993,40.3,74.0,92.7,116927.0,61.8,68.8,0.46,576.16,468.02,0.812,2.3,93.7,0.0804,100.0,79.5,90.3,1189.1,919.97,0.774,89.9,88.8,0.41,37.5,1495.0,356.32,462.78,95.0,86.3,81.4,95.0,90.1,3.75,35.7,39.2,8.7,27.9,1.4,0.809
36,Kalaburagi,Karnataka,KA,2018,A,892752,359,37.1,62.9,24.8,65.4,0.89,163628.0,9.0,21.5,9.2,182984.0,14132.0,62.0,31.1,124.0,38.8,71.9,2.42,0.93,106,84.1,23.4,483.57,387.57,0.801,74.4,95.2,79.5,38.7,6.6,15.4,23.0,5.04,0.964,612.14,535.1,0.874,28.3,69.8,88.5,91068.0,58.6,42.0,0.34,384.48,281.49,0.732,1.36,77.9,0.0433,92.0,27.2,66.2,724.38,465.52,0.643,79.7,73.4,0.5,23.9,1171.0,246.01,304.08,95.0,58.0,63.9,56.4,69.9,3.04,38.5,53.4,41.9,44.6,1.4,0.762
37,Kalaburagi,Karnataka,KA,2019,A,907593,193,36.2,63.8,19.6,63.0,0.958,172282.0,8.9,27.9,3.8,193942.0,15032.0,85.7,36.1,106.0,51.5,71.8,2.26,1.13,93,77.9,21.7,558.99,434.83,0.778,75.3,97.6,77.5,32.0,5.7,10.1,26.0,5.04,0.957,649.94,521.48,0.802,33.6,64.5,83.9,99056.0,72.4,50.5,0.47,425.63,290.44,0.682,1.32,93.5,0.0465,92.5,37.5,68.8,764.69,599.37,0.784,77.5,71.6,0.25,20.0,1282.0,263.01,319.86,95.0,56.1,63.3,62.0,70.7,3.65,42.7,49.7,35.7,42.7,1.4,0.762
38,Kalaburagi,Karnataka,KA,2020,A,913006,953,40.9,59.1,19.4,62.2,0.908,188058.0,7.3,20.9,6.1,195057.0,15339.0,78.7,34.4,120.0,47.0,68.9,2.21,1.16,112,85.1,18.1,573.31,381.26,0.665,74.9,98.4,84.7,37.8,4.4,14.8,26.0,4.76,0.964,659.94,547.98,0.83,33.5,69.3,84.7,99302.0,60.1,70.2,0.56,435.18,407.11,0.935,1.55,62.4,0.0348,95.4,45.3,81.7,848.04,695.58,0.82,79.3,71.3,0.35,24.7,1308.0,282.13,351.73,95.0,62.7,69.9,65.9,74.6,3.6,39.7,51.8,33.1,41.5,1.4,0.812
